choice, accuracy, solution,  reward, cumulative_reward, rt,  total_trial_time, iti, cp_with_slow_fast
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.200000000000000000e+01,9.178000000000000000e+03,3.354420661926269531e-01,1.932227849960327148e+00,6.089438879729711651e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.300000000000000000e+01,9.241000000000000000e+03,3.172471523284912109e-01,1.854997158050537109e+00,5.474053895970054651e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,9.297000000000000000e+03,2.833490371704101562e-01,1.761574983596801758e+00,4.925140819026324057e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.100000000000000000e+01,9.358000000000000000e+03,2.556970119476318359e-01,1.836260080337524414e+00,5.952963588563671138e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.800000000000000000e+01,9.426000000000000000e+03,2.713930606842041016e-01,1.900022983551025391e+00,6.453621799549289495e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,9.485000000000000000e+03,3.293480873107910156e-01,2.024520158767700195e+00,7.032091737070322868e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,9.541000000000000000e+03,2.381730079650878906e-01,1.690109968185424805e+00,4.603427287682086422e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.300000000000000000e+01,9.604000000000000000e+03,3.878569602966308594e-01,1.816376924514770508e+00,4.434505712269298794e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.700000000000000000e+01,9.641000000000000000e+03,2.954158782958984375e-01,1.966289997100830078e+00,6.762839397310211886e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,9.697000000000000000e+03,2.847108840942382812e-01,1.779749870300292969e+00,5.062593041293378393e-01,0.000000000000000000e+00
